Tue Oct 19 12:32:58 2021, Server started, waiting for the connections.
Tue Oct 19 12:33:04 2021, Received connection from: 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:04 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:05 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:06 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418b0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941190> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f819418e0> from 127.0.0.1
Tue Oct 19 12:33:07 2021, Game: 0, received data: <game.Player object at 0x7f2f81941940> from 127.0.0.1
